Cid,Duration,Event,DM,Sex,Age,Freq,Amount
776,44,1,1,0,55,2,8.75
777,19,1,1,0,53,2,8.36
778,31,1,0,1,57,1,8.52
779,39,1,0,0,69,1,8.54
780,8,1,0,0,24,4,8.43
781,39,1,1,1,52,2,8.26
782,31,1,0,0,32,2,8.02
783,15,1,0,0,34,1,8.53
784,27,1,0,1,52,1,8.18
785,39,1,0,0,69,2,8.42
786,30,1,0,0,49,1,8.64
787,13,1,1,0,25,3,8.33
788,29,1,1,1,25,2,8.23
789,34,1,0,0,41,1,8.23
790,17,1,0,0,35,3,8.36
791,26,1,0,1,48,2,7.95
792,39,1,0,0,28,2,8.44
793,22,1,1,1,18,1,8.09
794,32,1,0,1,30,1,8.14
795,14,1,0,0,46,2,8.17
796,26,1,0,0,42,2,8.43
797,49,1,1,0,32,5,8.03
798,21,1,0,0,49,3,8.04
799,19,1,1,1,33,2,8
800,54,0,1,0,63,1,8.4
801,30,1,0,0,66,2,7.8
802,21,1,0,1,26,2,8.44
803,38,1,0,0,65,2,8.54
804,29,1,1,1,24,3,8.01
805,54,0,0,1,58,3,8.5
806,34,1,0,0,45,3,8.43
807,47,1,1,0,43,6,8.52
808,31,1,1,0,29,7,8.3
809,27,1,1,0,54,2,8.5
810,35,1,1,0,43,5,7.98
811,37,1,1,1,50,1,8.47
812,30,1,1,0,52,2,8.42
813,29,1,1,0,59,2,8.31
814,22,1,0,0,49,3,8.33
815,24,1,0,0,58,1,8.31
816,29,1,1,0,28,4,7.81
817,26,1,1,0,61,2,8.24
818,26,1,0,1,47,4,8.55
819,27,1,0,0,48,1,8.01
820,34,1,1,1,63,2,8.41
821,7,1,1,1,53,1,7.6
822,45,1,1,0,63,2,8.09
823,40,1,0,0,29,1,8.23
824,21,1,1,0,41,3,8.62
825,41,1,0,0,21,3,8.48
826,32,1,0,1,66,3,8.22
827,26,1,0,0,25,1,8.58
828,27,1,0,0,20,2,8.5
829,42,1,0,1,60,3,8.01
830,45,1,1,0,63,4,8.4
831,40,1,0,0,52,2,8.08
832,19,1,0,0,30,1,8.12
833,32,1,0,1,23,1,8.33
834,36,1,1,1,48,4,8.23
835,18,1,0,1,53,3,8.44
836,40,1,0,0,66,1,8.75
837,34,1,0,0,29,1,8.08
838,54,0,0,1,60,1,7.88
839,37,1,1,0,41,1,8.6
840,23,1,0,0,63,3,8.22
841,28,1,1,1,47,4,8.3
842,38,1,0,0,40,2,8.52
843,27,1,1,0,35,2,7.93
844,32,1,1,0,60,1,7.71
845,46,1,1,0,67,2,8.37
846,21,1,1,0,35,3,7.93
847,42,1,0,0,56,4,8.36
848,4,1,1,0,24,1,8.25
849,20,1,1,0,54,1,8.57
850,38,1,1,0,35,7,8.66
851,52,1,1,0,37,3,8.4
852,20,1,0,0,43,2,8.09
853,33,1,0,0,29,3,8.6
854,31,1,0,0,39,3,8.37
855,24,1,0,0,63,1,8.57
856,10,1,0,0,60,1,8.35
857,34,1,1,0,37,2,8.57
858,36,1,0,0,45,1,8.27
859,50,1,0,0,62,4,8.24
860,26,1,1,1,56,2,8.3
861,37,1,0,1,49,2,7.69
862,41,1,1,0,46,2,8.33
863,22,1,0,0,65,1,8.24
864,47,1,1,1,68,4,7.3
865,26,1,1,0,23,3,8.49
866,22,1,1,1,69,2,8.06
867,40,1,1,0,69,2,8.09
868,41,1,1,0,43,1,8.32
869,38,1,0,1,64,1,8.39
870,27,1,1,0,52,4,8.03
871,42,1,0,0,42,4,8.08
872,27,1,1,0,38,1,7.91
873,20,1,0,0,24,2,7.92
874,31,1,0,1,65,2,8.02
875,33,1,0,0,26,2,8.18
876,43,1,1,0,62,3,8.28
877,20,1,0,0,43,2,8.41
878,30,1,1,1,34,1,8.54
879,25,1,0,0,24,2,8.27
880,36,1,0,0,21,2,8.21
881,20,1,0,0,18,3,8.22
882,47,1,1,1,46,2,8.35
883,26,1,0,1,49,1,8.53
884,27,1,0,1,55,2,8.45
885,30,1,1,0,25,2,8.63
886,34,1,1,0,39,1,8.04
887,34,1,0,0,64,4,8.38
888,48,1,0,0,68,2,8.81
889,14,1,1,0,25,1,8.61
890,24,1,0,0,51,1,8.09
891,42,1,1,1,57,1,7.41
892,42,1,0,1,69,1,8.54
893,40,1,1,1,68,2,7.79
894,24,1,0,0,34,1,8.2
895,37,1,0,0,68,3,8.43
896,30,1,1,1,48,1,8.51
897,13,1,1,0,20,4,8.7
898,40,1,1,0,60,2,8.28
899,45,1,1,0,61,4,8.4
900,41,1,1,0,62,3,8.28
901,50,1,1,0,50,1,8.48
902,52,1,1,1,58,2,8.7
903,33,1,1,1,43,2,8.51
904,42,1,1,1,57,1,8.13
905,22,1,1,0,18,5,8.31
906,49,1,0,0,67,5,8.66
907,54,0,1,1,58,3,8.2
908,19,1,0,0,33,4,8.38
909,36,1,1,0,31,1,8.26
910,36,1,1,1,54,4,7.07
911,15,1,1,1,26,3,8.42
912,54,0,1,0,64,6,8.4
913,19,1,0,1,64,1,8.28
914,41,1,0,0,70,1,8.7
915,31,1,0,0,37,2,8.55
916,30,1,1,0,54,2,8.18
917,8,1,1,0,22,1,8.44
918,50,1,0,0,62,2,8.26
919,19,1,0,0,62,1,7.79
920,20,1,0,0,30,1,8.36
921,40,1,1,0,24,2,8.25
922,33,1,0,0,45,1,8.37
923,21,1,1,1,26,2,8.84
924,52,1,1,1,62,1,8.53
925,21,1,0,1,28,2,8.6
926,25,1,0,0,66,2,8.49
927,29,1,0,0,38,2,8.1
928,19,1,0,0,28,1,8.33
929,31,1,1,0,30,1,8.27
930,49,1,1,0,52,1,8.13
931,13,1,0,0,24,1,8.75
932,3,1,0,1,19,1,7.94
933,22,1,0,0,38,1,8.53
934,31,1,1,0,42,1,8.13
935,34,1,0,0,50,1,8.04
936,39,1,0,1,63,1,7.7
937,47,1,1,1,66,2,8.29
938,32,1,0,1,61,3,8.56
939,12,1,0,0,17,2,8.52
940,38,1,1,1,57,1,8.08
941,31,1,1,0,39,1,8.69
942,31,1,1,0,50,3,8.64
943,33,1,0,1,58,1,8.46
944,47,1,0,0,70,2,8.36
945,35,1,0,0,53,2,8.52
946,37,1,0,0,53,1,7.97
947,46,1,1,0,44,1,8.39
948,7,1,0,0,51,1,7.91
949,16,1,0,0,18,5,8.31
950,34,1,0,1,39,4,8.5
951,50,1,1,1,45,1,8.43
952,46,1,1,1,50,2,8
953,36,1,0,1,67,1,8.63
954,13,1,1,1,17,2,8.39
955,26,1,0,0,53,3,8.53
956,36,1,0,0,52,1,8.38
957,46,1,0,0,58,3,8.28
958,28,1,0,1,24,3,8.52
959,17,1,0,0,52,2,8.02
960,25,1,1,0,33,4,8.65
961,40,1,1,0,37,1,8.66
962,12,1,0,1,24,4,8.07
963,33,1,0,0,35,2,8.37
964,52,1,1,0,69,3,8.39
965,33,1,1,0,56,4,8.32
966,41,1,0,1,66,1,8.54
967,17,1,0,0,51,3,7.64
968,46,1,1,0,54,2,8.2
969,13,1,1,0,18,5,8.48
970,20,1,0,0,37,2,8.08
971,32,1,0,0,65,7,8.12
972,13,1,1,0,18,1,8.37
973,21,1,1,0,24,1,8.31
974,40,1,0,0,21,3,8.27
975,23,1,0,0,31,2,8.21
976,15,1,1,0,19,1,8.32
977,31,1,1,0,68,2,8.37
978,36,1,0,0,27,6,8.48
979,50,1,1,0,56,2,8.19
980,26,1,0,0,37,2,8.02
981,5,1,1,0,36,2,8.09
982,41,1,1,1,58,5,8.44
983,32,1,1,0,30,2,8.18
984,19,1,0,0,47,3,8.23
985,46,1,1,0,23,3,7.91
986,40,1,0,0,43,4,8.08
987,25,1,0,0,66,2,8.11
988,6,1,1,1,21,1,8.48
989,33,1,1,0,56,3,8.34
990,47,1,1,0,26,1,7.87
991,51,1,1,0,38,1,8.32
992,28,1,0,0,31,4,8.45
993,46,1,0,0,60,5,8.66
994,31,1,0,0,31,2,7.94
995,33,1,0,1,52,1,7.97
996,9,1,0,0,66,2,8.56
997,32,1,1,1,41,3,8.44
998,47,1,1,1,24,3,8.22
999,6,1,0,1,21,2,8.5
1000,35,1,1,1,54,1,8.44
